var	Year	ALB	DZA	AGO	ARG	ARM	AUS	AUT	AZE	BHS	BHR	BGD	BLR	BEL	BOL	BWA	BRA	BRN	BGR	BFA	CMR	CAN	CHL	CHN	COL	COG	ZAR	CRI	CIV	HRV	CUB	CYP	CZE	DNK	DOM	ECU	EGY	SLV	EST	ETH	FIN	FRA	GAB	GMB	DEU	GHA	GRC	GTM	GIN	GNB	GUY	HTI	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	PRK	KOR	KWT	LVA	LBN	LBR	LBY	LTU	LUX	MDG	MWI	MYS	MLI	MLT	MEX	MDA	MNG	MAR	MOZ	MMR	NAM	NLD	NZL	NIC	NER	NGA	NOR	OMN	PAK	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	ROM	RUS	SAU	SEN	SRB	SLE	SGP	SVK	SVN	SOM	ZAF	ESP	LKA	SDN	SUR	SWE	CHE	SYR	TWN	TZA	THA	TGO	TTO	TUN	TUR	ARE	UGA	UKR	GBR	USA	URY	VEN	VNM	YEM	ZMB	ZWE
CC	1996	0.33	0.50	0.50	0.50		0.83	0.83		0.67	0.50	0.33		0.67	0.50	0.50	0.50	0.67	0.67	0.50	0.50	1.00	0.67	0.33	0.33	0.50	0.00	0.83	0.50		0.50	0.83	0.67	1.00	0.67	0.67	0.33	0.50		0.33	1.00	0.67	0.17	0.50	0.83	0.50	0.83	0.67	0.67	0.33	0.50	0.50	0.33	0.83	0.83	1.00	0.50	0.50	0.67	0.17	0.83	0.83	0.67	0.50	0.83	0.67		0.50	0.33	0.83	0.50		0.17	0.17	0.67		1.00	0.67	0.50	0.67	0.50	0.67	0.33		0.67	0.50	0.67	0.17	0.67	1.00	0.83	0.67	0.33	0.33	0.83	0.50	0.33	0.33	0.50	0.33	0.50	0.50	0.83	0.83	0.33	0.50	0.33	0.33	0.50	0.50	0.50	0.67	0.50		0.17	0.83	0.83	0.67	0.17	0.50	1.00	0.83	0.67	0.67	0.50	0.50	0.33	0.50	0.50	0.33	0.33	0.33		0.67	0.67	0.50	0.50	0.50	0.50	0.50	0.50
CC	1998	0.50	0.33	0.33	0.33	0.33	0.83	0.67	0.33	0.67	0.50	0.33	0.67	0.50	0.50	0.50	0.50	0.50	0.67	0.33	0.33	1.00	0.67	0.33	0.33	0.67	0.17	0.83	0.33	0.33	0.33	0.67	0.67	1.00	0.67	0.50	0.33	0.67	0.83	0.33	1.00	0.67	0.17	0.50	0.83	0.33	0.83	0.67	0.50	0.33	0.50	0.33	0.33	0.33	0.83	1.00	0.50	0.17	0.67	0.17	0.50	0.50	0.50	0.50	0.33	0.67	0.50	0.33	0.33	0.67	0.50	0.50	0.17	0.17	0.67	0.50	0.83	0.67	0.50	0.50	0.33	0.67	0.50	0.33	0.67	0.50	0.67	0.17	0.50	1.00	0.83	0.67	0.00	0.17	0.83	0.50	0.50	0.33	0.67	0.33	0.50	0.67	0.83	0.83	0.33	0.50	0.33	0.33	0.50	0.17	0.50	0.67	0.67	0.67	0.17	0.50	0.83	0.67	0.17	0.50	1.00	0.83	0.67	0.50	0.33	0.33	0.33	0.50	0.50	0.33	0.33	0.33	0.50	0.83	0.67	0.50	0.50	0.33	0.50	0.50	0.33
CC	2000	0.33	0.33	0.33	0.50	0.33	0.83	0.67	0.33	0.67	0.50	0.33	0.50	0.67	0.50	0.50	0.50	0.50	0.33	0.33	0.33	1.00	0.67	0.17	0.33	0.67	0.17	0.83	0.50	0.50	0.33	0.67	0.67	1.00	0.67	0.50	0.33	0.67	0.83	0.33	1.00	0.50	0.17	0.50	0.67	0.33	0.83	0.67	0.50	0.33	0.50	0.33	0.33	0.50	0.67	1.00	0.50	0.17	0.67	0.17	0.33	0.50	0.50	0.33	0.50	0.50	0.33	0.33	0.33	0.50	0.33	0.50	0.17	0.83	0.67	0.50	0.83	0.67	0.50	0.50	0.33	0.67	0.67	0.33	0.50	0.50	0.33	0.17	0.50	1.00	0.83	0.67	0.17	0.17	0.83	0.50	0.33	0.33	0.33	0.33	0.67	0.33	0.50	0.83	0.33	0.50	0.17	0.33	0.50	0.17	0.50	0.67	0.67	0.67	0.17	0.50	0.67	0.67	0.17	0.50	1.00	0.83	0.33	0.33	0.33	0.33	0.33	0.50	0.50	0.50	0.33	0.33	0.33	0.83	0.67	0.50	0.50	0.33	0.50	0.33	0.17
CC	2002	0.33	0.25	0.33	0.33	0.25	0.75	0.83	0.33	0.67	0.33	0.17	0.33	0.67	0.33	0.50	0.67	0.42	0.33	0.33	0.33	0.67	0.67	0.17	0.50	0.33	0.17	0.42	0.50	0.50	0.42	0.67	0.42	0.92	0.33	0.50	0.25	0.42	0.50	0.33	1.00	0.50	0.17	0.50	0.67	0.42	0.42	0.25	0.50	0.33	0.50	0.17	0.42	0.67	0.50	0.83	0.25	0.17	0.33	0.17	0.58	0.50	0.42	0.25	0.58	0.50	0.25	0.33	0.17	0.33	0.33	0.33	0.17	0.33	0.33	0.42	0.83	0.50	0.33	0.42	0.50	0.50	0.33	0.25	0.33	0.50	0.25	0.17	0.25	0.83	0.92	0.42	0.17	0.17	0.83	0.42	0.25	0.33	0.17	0.17	0.33	0.25	0.33	0.58	0.33	0.33	0.17	0.33	0.42	0.17	0.42	0.75	0.42	0.50	0.17	0.42	0.58	0.50	0.17	0.33	0.92	0.75	0.33	0.50	0.33	0.25	0.25	0.33	0.33	0.33	0.33	0.33	0.17	0.75	0.67	0.50	0.25	0.25	0.33	0.33	0.00
CC	2003	0.33	0.25	0.33	0.42	0.25	0.75	0.83	0.33	0.67	0.33	0.17	0.33	0.67	0.33	0.50	0.67	0.42	0.33	0.33	0.33	0.83	0.42	0.33	0.50	0.33	0.17	0.42	0.50	0.50	0.42	0.67	0.42	0.92	0.33	0.50	0.25	0.42	0.50	0.33	1.00	0.50	0.17	0.50	0.75	0.42	0.42	0.25	0.50	0.33	0.50	0.17	0.42	0.67	0.50	0.75	0.25	0.17	0.33	0.67	0.58	0.67	0.42	0.25	0.58	0.50	0.25	0.58	0.17	0.50	0.33	0.33	0.17	0.33	0.33	0.42	0.83	0.67	0.33	0.42	0.50	0.50	0.33	0.25	0.33	0.50	0.25	0.17	0.25	0.83	0.92	0.42	0.17	0.17	0.83	0.42	0.25	0.33	0.17	0.17	0.42	0.33	0.33	0.58	0.33	0.42	0.25	0.33	0.42	0.33	0.42	0.75	0.42	0.50	0.17	0.33	0.58	0.50	0.17	0.33	0.92	0.75	0.33	0.50	0.33	0.25	0.25	0.33	0.33	0.42	0.33	0.33	0.17	0.75	0.67	0.50	0.25	0.25	0.33	0.33	0.00
CC	2004	0.33	0.25	0.33	0.42	0.25	0.83	0.83	0.33	0.67	0.33	0.25	0.33	0.67	0.33	0.50	0.33	0.42	0.33	0.33	0.33	0.67	0.42	0.33	0.50	0.33	0.17	0.42	0.33	0.50	0.42	0.67	0.42	0.92	0.33	0.50	0.25	0.42	0.50	0.33	1.00	0.50	0.17	0.42	0.75	0.42	0.42	0.25	0.42	0.33	0.50	0.42	0.33	0.67	0.50	0.75	0.42	0.17	0.33	0.17	0.42	0.50	0.33	0.25	0.58	0.50	0.25	0.25	0.17	0.42	0.33	0.33	0.17	0.42	0.33	0.42	0.83	0.67	0.33	0.42	0.33	0.50	0.33	0.25	0.33	0.50	0.25	0.17	0.25	0.83	0.92	0.42	0.17	0.17	0.83	0.42	0.25	0.33	0.17	0.17	0.42	0.33	0.33	0.58	0.33	0.42	0.33	0.33	0.42	0.33	0.42	0.75	0.42	0.50	0.17	0.33	0.67	0.50	0.17	0.33	0.83	0.75	0.33	0.50	0.33	0.25	0.25	0.33	0.33	0.42	0.33	0.33	0.17	0.75	0.83	0.50	0.25	0.25	0.33	0.50	0.00
CC	2005	0.17	0.25	0.33	0.42	0.25	0.83	0.83	0.25	0.67	0.33	0.25	0.33	0.67	0.33	0.50	0.25	0.42	0.33	0.33	0.33	0.83	0.75	0.33	0.50	0.33	0.17	0.25	0.25	0.42	0.42	0.67	0.42	0.92	0.33	0.50	0.25	0.42	0.50	0.33	1.00	0.58	0.17	0.42	0.83	0.25	0.33	0.25	0.42	0.33	0.50	0.25	0.33	0.67	0.50	0.92	0.42	0.17	0.33	0.17	0.67	0.50	0.42	0.25	0.58	0.50	0.25	0.08	0.17	0.42	0.42	0.33	0.17	0.33	0.25	0.42	0.83	0.67	0.33	0.33	0.33	0.58	0.33	0.25	0.33	0.42	0.25	0.17	0.25	0.83	0.92	0.42	0.17	0.25	0.83	0.42	0.25	0.33	0.17	0.17	0.42	0.33	0.42	0.67	0.42	0.42	0.33	0.33	0.42	0.33	0.25	0.75	0.42	0.50	0.17	0.42	0.67	0.42	0.17	0.33	0.83	0.75	0.33	0.50	0.33	0.25	0.25	0.33	0.33	0.42	0.33	0.33	0.33	0.75	0.83	0.50	0.25	0.25	0.33	0.50	0.00
CC	2006	0.17	0.25	0.33	0.42	0.25	0.75	0.83	0.25	0.67	0.33	0.25	0.33	0.58	0.33	0.67	0.33	0.42	0.33	0.33	0.50	0.83	0.75	0.25	0.42	0.33	0.17	0.25	0.25	0.42	0.42	0.67	0.42	0.92	0.33	0.50	0.33	0.42	0.50	0.33	1.00	0.58	0.17	0.33	0.83	0.25	0.33	0.25	0.42	0.33	0.42	0.17	0.33	0.67	0.50	0.92	0.42	0.42	0.33	0.17	0.58	0.50	0.42	0.25	0.58	0.50	0.25	0.08	0.17	0.42	0.50	0.33	0.17	0.42	0.25	0.33	0.83	0.67	0.33	0.42	0.33	0.58	0.33	0.25	0.33	0.50	0.25	0.17	0.25	0.83	0.92	0.42	0.17	0.25	0.83	0.42	0.25	0.33	0.17	0.17	0.42	0.33	0.42	0.67	0.42	0.42	0.33	0.33	0.42	0.33	0.25	0.75	0.42	0.50	0.17	0.42	0.67	0.42	0.17	0.33	0.83	0.75	0.33	0.42	0.42	0.25	0.25	0.33	0.33	0.42	0.33	0.33	0.33	0.67	0.67	0.50	0.25	0.42	0.33	0.50	0.00
CC	2007	0.17	0.25	0.33	0.42	0.25	0.75	0.83	0.25	0.67	0.33	0.42	0.33	0.58	0.33	0.58	0.33	0.42	0.33	0.33	0.58	0.83	0.75	0.42	0.42	0.33	0.17	0.33	0.33	0.42	0.42	0.67	0.42	0.92	0.33	0.50	0.33	0.42	0.50	0.33	1.00	0.83	0.17	0.42	0.83	0.25	0.33	0.25	0.33	0.33	0.33	0.17	0.33	0.67	0.50	0.92	0.42	0.58	0.33	0.17	0.58	0.50	0.42	0.25	0.50	0.50	0.25	0.08	0.17	0.42	0.50	0.33	0.17	0.42	0.25	0.33	0.83	0.67	0.25	0.42	0.33	0.58	0.33	0.25	0.33	0.50	0.33	0.25	0.25	0.83	0.92	0.42	0.25	0.25	0.83	0.42	0.33	0.33	0.17	0.17	0.42	0.33	0.42	0.67	0.42	0.42	0.33	0.33	0.42	0.33	0.25	0.75	0.42	0.50	0.17	0.42	0.67	0.42	0.17	0.33	0.83	0.75	0.33	0.42	0.58	0.25	0.25	0.33	0.33	0.42	0.33	0.33	0.33	0.67	0.67	0.50	0.17	0.58	0.33	0.58	0.00
CC	2008	0.25	0.25	0.33	0.42	0.25	0.75	0.83	0.25	0.67	0.33	0.42	0.33	0.58	0.33	0.58	0.50	0.42	0.33	0.33	0.67	0.83	0.75	0.42	0.50	0.33	0.17	0.33	0.42	0.42	0.42	0.67	0.42	0.92	0.33	0.50	0.33	0.42	0.50	0.33	1.00	0.83	0.33	0.42	0.83	0.25	0.33	0.33	0.33	0.33	0.33	0.17	0.33	0.67	0.50	0.92	0.42	0.67	0.33	0.17	0.58	0.50	0.42	0.25	0.50	0.50	0.25	0.08	0.17	0.50	0.50	0.33	0.17	0.42	0.25	0.33	0.83	0.67	0.25	0.42	0.33	0.58	0.33	0.25	0.33	0.50	0.33	0.25	0.42	0.83	0.92	0.42	0.25	0.25	0.83	0.42	0.33	0.33	0.17	0.17	0.42	0.33	0.42	0.67	0.42	0.42	0.33	0.33	0.33	0.33	0.25	0.75	0.42	0.50	0.17	0.42	0.67	0.42	0.17	0.33	0.83	0.75	0.33	0.50	0.50	0.33	0.25	0.33	0.33	0.42	0.42	0.33	0.33	0.67	0.67	0.50	0.17	0.58	0.33	0.50	0.00
